,titulo,año_estreno,popularidad
144,The Basketball Diaries,1995,7.415144
145,An Awfully Big Adventure,1995,0.922958
146,Amateur,1994,1.759012
147,Apollo 13,1995,18.761467
148,Rob Roy,1995,10.193549
149,The Addiction,1995,3.137285
150,Batman Forever,1995,13.321354
151,Belle de Jour,1967,10.142662
152,Beyond Rangoon,1995,2.04189
153,Blue in the Face,1995,11.528147
154,Canadian Bacon,1995,5.391556
155,Casper,1995,12.812539
156,Clockers,1995,4.558992
157,Congo,1995,7.260574
158,Crimson Tide,1995,8.657365
159,Crumb,1994,3.620388
160,Desperado,1995,6.950458
161,Devil in a Blue Dress,1995,4.646132
162,Die Hard: With a Vengeance,1995,15.138855
163,The Doom Generation,1995,7.120806
164,Feast of July,1995,0.523575
165,First Knight,1995,15.178338
166,Free Willy 2 - The Adventure Home,1995,7.575098
167,Hackers,1995,14.810519
168,Jeffrey,1995,3.196456
169,Johnny Mnemonic,1995,11.715868
170,Judge Dredd,1995,8.184815
171,Jury Duty,1995,3.676921
172,Kids,1995,4.877872
173,Living in Oblivion,1995,10.058329
174,Lord of Illusions,1995,4.102409
175,Love & Human Remains,1993,0.354014
176,Mad Love,1995,2.624771
177,Mallrats,1995,8.25547
178,Mighty Morphin Power Rangers: The Movie,1995,7.024227
179,Moonlight and Valentino,1995,1.01115
180,Mute Witness,1995,2.466066
181,Nadja,1994,7.720056
182,The Net,1995,13.304342
183,Nine Months,1995,8.482834
184,Party Girl,1995,1.165039
185,The Prophecy,1995,10.187623
186,Reckless,1995,0.119713
187,Safe,1995,8.180047
188,The Scarlet Letter,1995,6.752119
189,The Show,1995,0.159596
190,Showgirls,1995,17.502375
191,Smoke,1995,5.552946
192,Something to Talk About,1995,3.743212
193,Species,1995,13.492845
194,The Stars Fell on Henrietta,1995,0.913522
195,Strange Days,1995,11.223055
196,The Umbrellas of Cherbourg,1964,8.133881
197,The Tie That Binds,1995,1.820419
198,Three Wishes,1995,11.002046
199,Total Eclipse,1995,4.546552
200,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,7.653446
201,Under Siege 2: Dark Territory,1995,7.490247
202,Unstrung Heroes,1995,2.881689
203,Unzipped,1995,0.786023
204,A Walk in the Clouds,1995,9.715639
205,Waterworld,1995,16.885184
206,White Man's Burden,1995,1.834099
207,Wild Bill,1995,8.922139
208,The Browning Version,1994,3.727644
209,Bushwhacked,1995,3.287036
210,Burnt by the Sun,1994,2.486073
211,Before the Rain,1994,3.525649
212,Before Sunrise,1995,11.304979
213,Billy Madison,1995,6.638116
214,The Babysitter,1995,2.761837
215,Boys on the Side,1995,3.030309
216,The Cure,1995,2.686342
217,Castle Freak,1995,2.26977
218,Circle of Friends,1995,2.605521
219,Clerks,1994,10.513367
220,Don Juan DeMarco,1994,7.438934
221,Disclosure,1994,11.812244
222,Dream Man,1995,0.155859
223,Drop Zone,1994,9.579155
224,Destiny Turns on the Radio,1995,0.710671
225,Death and the Maiden,1994,5.484156
226,Dolores Claiborne,1995,5.8025
227,Dumb and Dumber,1994,9.844558
228,Eat Drink Man Woman,1994,4.860016
229,Exotica,1994,5.378467
230,Exit to Eden,1994,4.322726
231,Ed Wood,1994,11.720358
232,French Kiss,1995,9.146544
233,Forget Paris,1995,16.236745
234,Far from Home: The Adventures of Yellow Dog,1995,2.657337
235,A Goofy Movie,1995,10.177977
236,Hideaway,1995,8.182165
237,Fluke,1995,4.953936
238,Farinelli,1994,8.935058
239,Gordy,1995,0.398924
240,Gumby: The Movie,1995,0.090452
241,The Glass Shield,1994,1.012197
242,Hoop Dreams,1994,9.47666
243,Heavenly Creatures,1994,9.438042
244,Houseguest,1995,2.688562
245,Immortal Beloved,1994,7.983666
246,Heavyweights,1995,9.546707
247,The Hunted,1995,2.756986
248,I.Q.,1994,5.146352
249,Interview with the Vampire,1994,11.970205
250,Jefferson in Paris,1995,1.596058
251,The Jerky Boys,1995,0.748846
252,Junior,1994,6.710215
253,Just Cause,1995,9.195256
254,A Kid in King Arthur's Court,1995,5.874511
255,Kiss of Death,1995,7.797512
256,Star Wars,1977,42.149697
257,Little Women,1994,9.774994
258,A Little Princess,1995,7.731725
259,Ladybird Ladybird,1994,0.84508
260,L'Enfer,1994,1.948315
261,Like Water for Chocolate,1992,4.126083
262,Legends of the Fall,1994,12.199047
263,Major Payne,1995,9.253362
264,Little Odessa,1994,1.861292
265,Mi Vida Loca,1994,1.788829
266,Love Affair,1994,3.290192
267,Losing Isaiah,1995,7.698526
268,The Madness of King George,1994,4.81307
269,Mary Shelley's Frankenstein,1994,14.287753
270,Man of the House,1995,2.558118
271,Mixed Nuts,1994,2.899608
272,Milk Money,1994,3.770115
273,Miracle on 34th Street,1994,5.831622
274,Miami Rhapsody,1995,1.137266
275,My Family,1995,3.121288
276,Murder in the First,1995,9.518564
277,Nobody's Fool,1994,2.891269
278,Nell,1994,5.930957
279,New Jersey Drive,1995,0.629955
280,New York Cop,1993,0.004537
281,Beyond Bedlam,1994,0.426952
282,Nemesis 2 - Nebula,1995,1.466491
283,Nina Takes a Lover,1995,0.769522
284,Natural Born Killers,1994,11.226856
285,Only You,1994,4.936761
286,Once Were Warriors,1994,4.025276
287,Poison Ivy II: Lily,1996,6.448039
288,Outbreak,1995,13.676444
289,Leon: The Professional,1994,20.477329
290,The Perez Family,1995,1.433544
291,A Pyromaniac's Love Story,1995,0.463307
292,Pulp Fiction,1994,140.950236
293,Panther,1995,7.160149
294,Pushing Hands,1992,1.638622
295,Priest,1994,1.881932
296,Quiz Show,1994,7.772505
297,Picture Bride,1995,1.296912
298,Queen Margot,1994,4.405405
299,The Quick and the Dead,1995,7.54701
300,Roommates,1995,3.395867
301,Prêt-à-Porter,1994,6.259433
302,Three Colors: Red,1994,7.832755
303,Three Colors: Blue,1993,8.843517
304,Three Colors: White,1994,6.5898
305,"Red Firecracker, Green Firecracker",1994,0.078257
306,Rent-a-Kid,1995,1.155255
307,Relative Fear,1995,0.499601
308,Stuart Saves His Family,1995,1.390885
309,The Swan Princess,1994,8.910462
310,The Secret of Roan Inish,1994,1.750481
311,The Specialist,1994,10.388183
312,Stargate,1994,13.328924
313,The Santa Clause,1994,9.665424
314,The Shawshank Redemption,1994,51.645403
315,Shallow Grave,1994,8.223026
316,Suture,1993,1.298224
317,Strawberry and Chocolate,1993,1.777197
318,Swimming with Sharks,1994,5.869261
319,The Sum of Us,1994,1.407427
320,Senior Trip,1995,5.05806
321,To Live,1994,5.260627
322,Tank Girl,1995,7.602087
323,Tales from the Crypt: Demon Knight,1995,9.455342
324,Star Trek: Generations,1994,8.105708
325,Tales from the Hood,1995,2.86007
326,Tom & Viv,1994,0.704204
327,Village of the Damned,1995,6.529879
328,Tommy Boy,1995,11.971318
329,Vanya on 42nd Street,1994,7.039846
330,The Underneath,1995,2.059771
331,The Walking Dead,1995,0.620873
332,What's Eating Gilbert Grape,1993,10.3919
333,Virtuosity,1995,5.188399
334,While You Were Sleeping,1995,15.783615
335,The War,1994,3.908596
336,Double Happiness,1994,0.372239
337,Muriel's Wedding,1994,5.254847
338,The Baby-Sitters Club,1995,2.15805
339,Ace Ventura: Pet Detective,1994,11.247957
340,"The Adventures of Priscilla, Queen of the Desert",1994,8.328596
341,Backbeat,1994,2.487951
342,Bitter Moon,1992,11.298195
343,Bullets Over Broadway,1994,5.72288
344,Clear and Present Danger,1994,7.513245
345,The Client,1994,15.263829
346,"Corrina, Corrina",1994,6.924689
347,Crooklyn,1994,2.533022
348,The Crow,1994,15.799336
349,Cobb,1994,2.583363
350,The Flintstones,1994,15.019586
351,Forrest Gump,1994,48.307194
352,Four Weddings and a Funeral,1994,8.990345
353,Higher Learning,1995,7.817811
354,I Like It Like That,1994,0.289295
355,I Love Trouble,1994,3.570874
356,It Could Happen to You,1994,11.272073
357,The Jungle Book,1994,10.714235
358,"The Wonderful, Horrible Life of Leni Riefenstahl",1993,0.568884
359,The Lion King,1994,21.605761
360,Little Buddha,1993,5.681522
361,New Nightmare,1994,9.860522
362,The Mask,1994,14.13488
363,Maverick,1994,15.050326
364,Mrs. Parker and the Vicious Circle,1994,4.739054
365,The Naked Gun 33⅓: The Final Insult,1994,10.587232
366,The Paper,1994,4.006063
367,Reality Bites,1994,6.514592
368,Red Rock West,1993,5.137903
369,Ri¢hie Ri¢h,1994,6.595255
370,Safe Passage,1994,4.931565
371,The River Wild,1994,10.511241
372,Speed,1994,10.859292
373,Speechless,1994,2.334226
374,Timecop,1994,8.907074
375,True Lies,1994,11.396099
376,When a Man Loves a Woman,1994,4.322544
377,Wolf,1994,14.063845
378,Wyatt Earp,1994,9.277147
379,Bad Company,1995,0.912415
380,A Man of No Importance,1994,0.406113
381,S.F.W.,1994,2.504529
382,A Low Down Dirty Shame,1994,3.021526
383,"Boys Life: Three Stories of Love, Lust, and Liberation",1994,0.054148
384,Colonel Chabert,1994,0.934312
385,"Faster, Pussycat! Kill! Kill!",1965,4.220541
386,Jason's Lyric,1994,0.912909
387,The Secret Adventures of Tom Thumb,1993,0.381704
388,Street Fighter,1994,13.58449
389,Coldblooded,1995,2.342756
390,Desert Winds,1997,0.251223
391,Fall Time,1995,1.108494
392,The Fear,1995,0.268043
393,Frank and Ollie,1995,0.142357
394,Girl in the Cadillac,1995,0.405392
395,Homage,1995,0.014925
396,Mirage,1995,0.302957
397,Open Season,1996,0.012456
398,Dos Crímenes,1995,0.233376
399,Brother Minister: The Assassination of Malcolm X,1995,0.0368
400,Highlander: The Final Dimension,1994,6.866634
401,Federal Hill,1995,0.100685
402,In the Mouth of Madness,1994,8.497643
403,8 Seconds,1994,1.888534
404,Above the Rim,1994,4.38154
405,Addams Family Values,1993,17.555909
406,Martin Lawrence: You So Crazy,1994,0.394194
407,The Age of Innocence,1993,8.013617
408,Airheads,1994,7.09232
409,The Air Up There,1994,1.896273
410,Another Stakeout,1993,12.967239
411,Bad Girls,1994,14.644772
412,Barcelona,1994,1.632711
413,Being Human,1994,2.783872
414,The Beverly Hillbillies,1993,5.673735
415,Beverly Hills Cop III,1994,11.787784
416,Black Beauty,1994,8.398845
417,Blink,1994,3.00282
418,Blown Away,1994,13.155071
419,Blue Chips,1994,6.131056
420,Blue Sky,1994,4.993829
421,Body Snatchers,1993,6.559693
422,Boxing Helena,1993,4.304224
423,A Bronx Tale,1993,6.115628
424,Cabin Boy,1994,1.679042
425,Calendar Girl,1993,1.316741
426,Carlito's Way,1993,8.698509
427,City Slickers II: The Legend of Curly's Gold,1994,8.605703
428,Clean Slate,1994,2.724621
429,Cliffhanger,1993,9.830853
430,Coneheads,1993,10.722729
431,Color of Night,1994,14.228963
432,Cops & Robbersons,1994,7.042878
433,The Cowboy Way,1994,4.286279
434,Dangerous Game,1993,2.70097
435,Dave,1993,13.696394
436,Dazed and Confused,1993,6.8652
437,Demolition Man,1993,11.626116
438,The Endless Summer 2,1994,0.408159
439,Even Cowgirls Get the Blues,1994,2.970724
440,Fatal Instinct,1993,3.555139
441,Farewell My Concubine,1993,4.875827
442,The Favor,1994,1.344876
443,Fearless,1993,9.284624
444,Fear of a Black Hat,1994,0.985441
445,With Honors,1994,2.969003
446,Flesh and Bone,1993,1.896869
447,Widows' Peak,1994,0.409427
448,For Love or Money,1993,8.468869
449,The Firm,1993,9.678367
450,Free Willy,1993,5.990572
451,Fresh,1994,3.970215
452,The Fugitive,1993,10.08937
453,Geronimo: An American Legend,1993,4.653462
454,The Getaway,1994,14.214403
455,Getting Even with Dad,1994,2.410545
456,Go Fish,1994,0.775898
457,A Good Man in Africa,1994,5.22583
458,Guilty as Sin,1993,5.385108
459,Hard Target,1993,7.834351
460,Heaven & Earth,1993,4.190541
461,Hot Shots! Part Deux,1993,13.482371
462,Live Nude Girls,1995,2.138959
463,The Englishman Who Went Up a Hill But Came Down a Mountain,1995,5.331753
464,The House of the Spirits,1993,10.687795
465,House Party 3,1994,0.996047
466,The Hudsucker Proxy,1994,7.550545
467,I'll Do Anything,1994,1.742974
468,In the Army Now,1994,6.071466
469,In the Line of Fire,1993,12.637158
470,In the Name of the Father,1993,7.405895
471,The Inkwell,1994,0.613335
472,What's Love Got to Do with It,1993,14.820883
473,Jimmy Hollywood,1994,4.563989
474,Judgment Night,1993,5.538671
475,Jurassic Park,1993,8.863776
476,Kalifornia,1993,8.4337
477,Killing Zoe,1993,4.948569
478,King of the Hill,1993,4.375347
479,Lassie,1994,3.645342
480,Last Action Hero,1993,9.434006
481,Life With Mikey,1993,6.446229
482,Lightning Jack,1994,2.913584
483,M. Butterfly,1993,6.516976
484,Made in America,1993,5.43085
485,Malice,1993,9.861672
486,The Man without a Face,1993,5.997712
487,Manhattan Murder Mystery,1993,8.939404
488,Menace II Society,1993,5.260924
489,Executive Decision,1996,13.106291
490,In the Realm of the Senses,1976,8.932494
491,What Happened Was...,1994,0.534606
492,Much Ado About Nothing,1993,8.62724
493,Mr. Jones,1993,6.579753
494,Mr. Wonderful,1993,13.011091
495,Mrs. Doubtfire,1993,11.16553
496,Naked,1993,8.665198
497,The Next Karate Kid,1994,9.9697
498,The New Age,1994,0.596207
499,No Escape,1994,9.715187
500,North,1994,15.534707
501,Orlando,1992,3.800785
502,A Perfect World,1993,8.040589
503,Philadelphia,1993,13.373006
504,The Piano,1993,7.436758
505,Poetic Justice,1993,6.972599
506,The Program,1993,3.199976
507,The Puppet Masters,1994,7.272296
508,Radioland Murders,1994,8.506727
509,The Ref,1994,5.868677
510,The Remains of the Day,1993,12.222576
511,Renaissance Man,1994,4.985157
512,Rising Sun,1993,6.279082
513,The Road to Wellville,1994,3.416181
514,RoboCop 3,1993,8.685798
515,Robin Hood: Men in Tights,1993,17.136672
516,Romeo Is Bleeding,1993,9.796318
517,Romper Stomper,1992,5.157926
518,Ruby in Paradise,1993,0.941994
519,Rudy,1993,5.914833
520,The Saint of Fort Washington,1993,1.065843
521,Savage Nights,1992,1.031556
522,Schindler's List,1993,41.725123
523,The Scout,1994,5.715608
524,Searching for Bobby Fischer,1993,12.048587
525,Second Best,1994,0.882596
526,The Secret Garden,1993,6.499523
527,Serial Mom,1994,5.305311
528,The Shadow,1994,7.881107
529,Shadowlands,1993,2.96586
530,Short Cuts,1993,8.829337
531,A Simple Twist of Fate,1994,4.13516
532,Sirens,1993,2.86213
533,Six Degrees of Separation,1993,8.730025
534,Sleepless in Seattle,1993,10.234919
535,Sliver,1993,11.23297
536,Blade Runner,1982,96.272374
537,Son in Law,1993,9.122718
538,So I Married an Axe Murderer,1993,8.051914
539,Striking Distance,1993,13.390917
540,Harem,1985,1.825468
541,Super Mario Bros.,1993,7.198455
542,Surviving the Game,1994,3.644641
543,Terminal Velocity,1994,8.012225
544,Thirty Two Short Films About Glenn Gould,1993,0.873068
545,Threesome,1994,10.82236
546,The Nightmare Before Christmas,1993,17.730913
547,The Three Musketeers,1993,6.34785
548,Tombstone,1993,11.338194
549,Trial by Jury,1994,0.85586
550,True Romance,1993,17.189328
551,The War Room,1993,1.273617
552,The Pagemaster,1994,7.436001
553,"Paris, France",1994,0.741522
554,"The Beans of Egypt, Maine",1994,0.38247
555,Killer,1994,0.422224
556,Welcome to the Dollhouse,1995,5.14056
557,Germinal,1993,2.759302
558,Chasers,1994,9.85327
559,Cronos,1993,5.513024
560,Naked in New York,1993,0.449733
561,Kika,1993,3.647321
562,Bhaji on the Beach,1994,0.441585
563,Little Big League,1994,1.960563
564,The Slingshot,1993,1.764582
565,Wide Eyed and Legless,1993,0.00015
566,Foreign Student,1994,0.002789
567,"Ciao, Professore!",1992,3.456868
568,Spanking the Monkey,1994,2.799575
569,The Little Rascals,1994,6.707109
570,À la mode,1993,8.2e-05
571,Andre,1994,3.139316
572,The Escort,1993,0.046196
573,Princess Caraboo,1994,1.943323
574,The Celluloid Closet,1996,6.784687
575,Café au Lait,1993,1.040873
576,Dear Diary,1993,2.904734
577,I Don't Want to Talk About It,1993,1.213481
578,The Brady Bunch Movie,1995,4.233092
579,Home Alone,1990,0.702543
580,Ghost,1990,11.945397
581,Aladdin,1992,16.357419
582,Terminator 2: Judgment Day,1991,22.661695
583,Dances with Wolves,1990,11.654349
584,Tough and Deadly,1995,0.426887
585,Batman,1989,19.10673
586,The Silence of the Lambs,1991,4.307222
587,Snow White and the Seven Dwarfs,1937,16.263878
588,Beauty and the Beast,1991,23.433511
589,Pinocchio,1940,14.202284
590,Pretty Woman,1990,13.348451
591,Window to Paris,1993,0.345748
592,The Wild Bunch,1969,11.722424
593,Love and a .45,1994,3.40523
594,The Wooden Man's Bride,1994,0.088451
595,A Great Day in Harlem,1994,0.076352
596,Bye Bye Love,1995,2.47308
597,One Fine Day,1996,7.009946
598,Candyman: Farewell to the Flesh,1995,4.983552
599,Century,1993,1.461029
600,Fargo,1996,12.61469
601,Homeward Bound II: Lost in San Francisco,1996,14.657754
602,Heavy Metal,1981,7.640073
603,Hellraiser: Bloodline,1996,5.263187
604,The Pallbearer,1996,8.174116
605,Jane Eyre,1996,2.420301
606,Loaded,1996,0.618066
607,Bread and Chocolate,1974,1.306628
608,The Aristocats,1970,9.834047
609,The Flower of My Secret,1995,2.286788
610,Two Much,1996,1.620174
611,Ed,1996,5.174212
612,Scream of Stone,1991,0.736081
613,My Favorite Season,1993,0.516924
614,A Modern Affair,1996,0.173207
615,Condition Red,1995,0.793932
616,Halfaouine: Boy of the Terraces,1990,1.983301
617,A Thin Line Between Love and Hate,1996,2.256747
618,The Last Supper,1995,4.619915
619,Primal Fear,1996,10.326213
620,Rude,1995,0.065827
621,Carried Away,1996,1.67218
622,All Dogs Go to Heaven 2,1996,5.028897
623,Land and Freedom,1995,6.144235
624,Denise Calls Up,1995,0.466476
625,Theodore Rex,1995,2.583686
626,A Family Thing,1996,6.207993
627,Frisk,1996,0.319215
628,Sgt. Bilko,1996,5.70904
629,Jack & Sarah,1995,1.523446
630,Girl 6,1996,4.405169
631,Diabolique,1996,4.530079
632,"Little Indian, Big City",1994,4.728163
633,Roula,1995,0.149157
634,Peanuts – Die Bank zahlt alles,1996,0.066123
635,Happy Weekend,1996,0.002229
636,Nelly and Monsieur Arnaud,1996,1.784647
637,Courage Under Fire,1996,11.595316
638,Mission: Impossible,1996,15.793477
639,Cold Fever,1995,0.494977
640,Moll Flanders,1996,2.337263
641,The Superwife,1996,0.821299
642,"301, 302",1995,0.396626
643,DragonHeart,1996,23.63659
644,Und keiner weint mir nach,1996,0.439989
645,My Mother's Courage,1995,0.622885
646,Eddie,1996,3.09233
647,Yankee Zulu,1993,1.558066
648,Billy's Holiday,1995,0.002444
649,Purple Noon,1960,3.804493
650,August,1996,0.987434
651,James and the Giant Peach,1996,13.217623
652,Fear,1996,6.954926
653,Kids in the Hall: Brain Candy,1996,2.299851
654,Faithful,1996,1.296862
655,Underground,1995,14.587894
656,All Things Fair,1995,3.582047
657,Bloodsport II,1996,3.085207
658,Pather Panchali,1955,3.900709
659,The World of Apu,1959,2.381806
660,Mystery Science Theater 3000: The Movie,1996,2.985163
661,Tarantella,1996,0.001662
662,Space Jam,1996,11.054251
663,Barbarella,1968,14.304205
664,Hostile Intentions,1995,0.062388
665,They Bite,1996,0.466991
666,Some Folks Call It a Sling Blade,1994,0.459376
667,The Run of the Country,1995,0.117662
668,Alphaville,1965,4.658149
669,Coup de Torchon,1981,2.272213
670,Tigrero: A Film That Was Never Made,1994,0.18343
671,The Eye of Vichy,1993,0.004117
672,Windows,1980,0.400023
673,It's My Party,1996,2.791667
674,Country Life,1994,0.487357
675,Operation Dumbo Drop,1995,4.357971
676,The Promise,1995,0.122178
677,Mrs. Winterbourne,1996,9.1861
678,Solo,1996,1.899069
679,Under The Domim Tree,1994,0.71066
680,The Substitute,1996,10.68537
681,True Crime,1996,1.217249
682,Butterfly Kiss,1995,0.877853
683,Feeling Minnesota,1996,10.298582
684,Delta of Venus,1995,1.099187
685,To Cross the Rubicon,1991,0.006854
686,Angus,1995,2.25008
687,Priest Daens,1992,0.755047
688,Faces,1968,7.918418
689,Boys,1996,1.579153
690,The Quest,1996,7.941972
691,Cosi,1996,0.947007
692,Sunset Park,1996,1.231692
693,Mulholland Falls,1996,5.79463
694,The Truth About Cats & Dogs,1996,5.121203
695,Oliver & Company,1988,10.813579
696,Celtic Pride,1996,1.940747
697,Flipper,1996,4.557006
698,Captives,1994,1.926109
699,Of Love and Shadows,1994,0.709209
700,Dead Man,1995,6.505272
701,The Horseman on the Roof,1995,1.690768
702,Switchblade Sisters,1975,6.035166
703,Mouth to Mouth,1995,1.133409
704,The Visitors,1993,7.326169
705,Multiplicity,1996,8.768806
706,"The Haunted World of Edward D. Wood, Jr.",1996,0.037443
707,Two Friends,2002,0.003949
708,The Craft,1996,12.860385
709,The Great White Hype,1996,3.321765
710,Last Dance,1996,1.196686
711,Cold Comfort Farm,1995,1.92386
712,"Institute Benjamenta, or This Dream People Call Human Life",1995,0.543042
713,Heaven's Prisoners,1996,9.264679
714,Original Gangstas,1996,0.343579
715,The Rock,1996,13.249824
716,Getting Away with Murder,1996,0.746662
717,Cemetery Man,1994,6.247819
718,Twister,1996,8.739144
719,Barb Wire,1996,5.877599
720,Le Garçu,1995,0.125882
721,Honeymoon,1996,0.652621
722,Ghost in the Shell,1995,10.686166
723,Thinner,1996,4.856229
724,Spy Hard,1996,8.202057
725,Brothers in Trouble,1995,0.594716
726,A Close Shave,1995,6.796858
727,Force of Evil,1948,4.386329
728,The Stupids,1996,1.751457
729,The Arrival,1996,6.497591
730,The Man from Down Under,1943,0.068254
731,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,9.80398
732,Careful,1992,0.160571
733,A Month by the Lake,1995,0.851078
734,Gold Diggers: The Secret of Bear Mountain,1995,5.508101
735,Kim,1950,1.048075
736,Carmen Miranda: Bananas Is My Business,1995,0.146287
737,Ashes of Time,1994,5.215992
738,The Jar,1994,0.401531
739,Maya Lin: A Strong Clear Vision,1995,0.001608
740,Stalingrad,1993,7.667284
741,The Phantom,1996,8.079541
742,Striptease,1996,11.341502
743,The Last of the High Kings,1996,1.427756
744,Heavy,1995,0.889498
745,Jack,1996,6.287245
746,I Shot Andy Warhol,1996,2.771201
747,The Grass Harp,1995,0.365418
748,Someone Else's America,1995,0.099602
749,Life is Rosy,1987,0.514363
750,Quartier Mozart,1992,0.011938
751,Touki Bouki,1973,0.043903
752,God's Gift,1982,0.049573
753,Spirits of the Dead,1968,1.794298
754,Babyfever,1994,0.001687
755,Pharaoh's  Army,1995,0.837911
756,Trainspotting,1996,19.348466
