,titulo,fecha_estreno,retorno,presupuesto,recaudaccion,director
32,Wings of Courage,1996-09-18,0.0,0,0.0,Jean-Jacques Annaud
33,Babe,1995-07-18,8.4712,30000000,254134910.0,Chris Noonan
34,Carrington,1995-11-08,0.0,0,0.0,Christopher Hampton
35,Dead Man Walking,1995-12-29,3.5785,11000000,39363635.0,Tim Robbins
36,Across the Sea of Time,1995-10-20,0.0,0,0.0,Stephen Low
37,It Takes Two,1995-11-17,0.0,0,0.0,Andy Tennant
38,Clueless,1995-07-19,0.0,12000000,0.0,Amy Heckerling
39,"Cry, the Beloved Country",1995-12-15,0.0,0,676525.0,Darrell James Roodt
40,Richard III,1995-12-29,0.0,0,0.0,Richard Loncraine
41,Dead Presidents,1995-10-06,0.0,10000000,0.0,"Albert Hughes, Allen Hughes"
42,Restoration,1995-12-29,0.0,19000000,0.0,Michael Hoffman
43,Mortal Kombat,1995-08-18,6.7887,18000000,122195920.0,Paul W.S. Anderson
44,To Die For,1995-05-20,1.0642,20000000,21284514.0,Gus Van Sant
45,How To Make An American Quilt,1995-10-06,2.3574,10000000,23574130.0,Jocelyn Moorhouse
46,Se7en,1995-09-22,9.9185,33000000,327311859.0,David Fincher
47,Pocahontas,1995-06-14,6.2924,55000000,346079773.0,"Mike Gabriel, Eric Goldberg"
48,When Night Is Falling,1995-05-05,0.0,0,0.0,Patricia Rozema
49,The Usual Suspects,1995-07-19,3.8903,6000000,23341568.0,Bryan Singer
50,Guardian Angel,1994-11-22,0.0,0,0.0,Richard W. Munchkin
51,Mighty Aphrodite,1995-09-13,0.4467,15000000,6700000.0,Woody Allen
52,Lamerica,1994-01-01,0.0,0,0.0,Gianni Amelio
53,The Big Green,1995-09-29,0.0,0,0.0,Holly Goldberg Sloan
54,Georgia,1995-05-19,0.0,0,0.0,Ulu Grosbard
55,Kids of the Round Table,1997-07-08,0.0,0,0.0,Robert Tinnell
56,Home for the Holidays,1995-11-02,0.0,0,17519169.0,Jodie Foster
57,The Postman,1994-09-22,0.0,0,0.0,Michael Radford
58,The Confessional,1995-09-29,0.0,0,0.0,Robert Lepage
59,The Indian in the Cupboard,1995-07-14,0.0,45000000,0.0,Frank Oz
60,Eye for an Eye,1996-01-12,0.0,20000000,0.0,John Schlesinger
61,Mr. Holland's Opus,1995-12-29,0.0,0,106269971.0,Stephen Herek
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,0.0,0,0.0,Paris Barclay
63,Two If by Sea,1996-01-12,0.0,0,0.0,Bill Bennett
64,Bio-Dome,1996-01-12,0.0,15000000,0.0,Jason Bloom
65,Lawnmower Man 2: Beyond Cyberspace,1996-01-12,0.0,0,2409225.0,Farhad Mann
66,Two Bits,1995-10-22,0.0,0,0.0,James Foley
67,French Twist,1995-02-08,0.0,0,0.0,Josiane Balasko
68,Friday,1995-04-26,8.0617,3500000,28215918.0,F. Gary Gray
69,From Dusk Till Dawn,1996-01-19,1.3598,19000000,25836616.0,Robert Rodriguez
70,Fair Game,1995-11-03,0.2307,50000000,11534477.0,Andrew Sipes
71,Kicking and Screaming,1995-10-06,0.0,0,718490.0,Noah Baumbach
72,Les Miserables,1995-03-22,0.0,0,0.0,Claude Lelouch
73,Bed of Roses,1996-01-26,0.0,0,19030691.0,Michael Goldenberg
74,Big Bully,1996-01-26,0.1362,15000000,2042530.0,Steve Miner
75,Screamers,1995-09-08,0.2891,20000000,5781885.0,Christian Duguay
76,Nico Icon,1995-02-18,0.0,0,0.0,Susanne Ofteringer
77,The Crossing Guard,1995-11-15,0.0,0,0.0,Sean Penn
78,The Juror,1996-02-02,0.0,44000000,0.0,Brian Gibson
79,The White Balloon,1995-01-01,0.0,0,0.0,Jafar Panahi
80,Things to Do in Denver When You're Dead,1995-12-01,0.0662,8000000,529766.0,Gary Fleder
81,Antonia's Line,1995-09-12,0.0,900000,0.0,Marleen Gorris
82,Once Upon a Time... When We Were Colored,1996-01-26,0.0,0,0.0,Tim Reid
83,Last Summer in the Hamptons,1995-11-22,0.0,0,0.0,Henry Jaglom
84,Angels and Insects,1995-09-10,0.0,0,0.0,Philip Haas
85,White Squall,1996-02-02,0.2711,38000000,10300000.0,Ridley Scott
86,Dunston Checks In,1996-01-12,0.0,16000000,0.0,Ken Kwapis
87,Black Sheep,1996-02-01,0.0,0,32.0,Penelope Spheeris
88,Nick of Time,1995-11-22,1.0007,8169363,8175346.0,John Badham
89,The Journey of August King,1995-09-14,0.0,0,0.0,John Duigan
90,Mary Reilly,1996-02-23,0.2634,47000000,12379402.0,Stephen Frears
91,Vampire in Brooklyn,1995-10-26,1.4143,14000000,19800000.0,Wes Craven
92,Beautiful Girls,1996-02-09,0.0,0,0.0,Ted Demme
93,Broken Arrow,1996-02-09,3.0054,50000000,150270147.0,John Woo
94,A Midwinter's Tale,1995-12-01,0.0,0,0.0,Kenneth Branagh
95,La Haine,1995-05-31,0.0,3000000,0.0,Mathieu Kassovitz
96,Shopping,1994-12-06,0.0,0,0.0,Paul W.S. Anderson
97,Heidi Fleiss: Hollywood Madam,1995-12-27,0.0,0,0.0,Nick Broomfield
98,City Hall,1996-02-16,0.0,0,0.0,Harold Becker
99,Bottle Rocket,1996-02-21,0.08,7000000,560069.0,Wes Anderson
100,Mr. Wrong,1996-02-16,0.0,0,0.0,Nick Castle
101,Unforgettable,1996-02-23,0.0,18000000,0.0,John Dahl
102,Happy Gilmore,1996-02-16,3.4338,12000000,41205099.0,Dennis Dugan
103,The Bridges of Madison County,1995-05-28,7.584,24000000,182016617.0,Clint Eastwood
104,Nobody Loves Me,1994-11-07,0.0,0,0.0,Doris Dörrie
105,Muppet Treasure Island,1996-02-16,0.0,0,34327391.0,Brian Henson
106,Catwalk,1995-12-08,0.0,0,0.0,Robert Leacock
107,Headless Body in Topless Bar,1995-05-20,0.0,0,0.0,James Bruce
108,Braveheart,1995-05-24,2.9167,72000000,210000000.0,Mel Gibson
109,Taxi Driver,1976-02-07,21.7404,1300000,28262574.0,Martin Scorsese
110,Rumble in the Bronx,1995-01-30,4.3189,7500000,32392047.0,Stanley Tong
111,Before and After,1996-02-23,0.0,35000000,0.0,Barbet Schroeder
112,Margaret's Museum,1995-09-13,0.0,0,0.0,Mort Ransen
113,Happiness Is in the Field,1995-01-31,0.0,13365000,0.0,Étienne Chatiliez
114,Anne Frank Remembered,1995-06-08,0.0,0,1.0,Jon Blair
115,The Young Poisoner's Handbook,1995-01-20,0.0,0,0.0,Benjamin Ross
116,If Lucy Fell,1996-03-08,0.0,0,0.0,Eric Schaeffer
117,Steal Big Steal Little,1995-09-29,0.2511,25000000,6278139.0,Andrew Davis
118,Race the Sun,1996-03-22,0.0,0,0.0,Charles T. Kanganis
119,The Boys of St. Vincent,1992-12-06,0.0,0,0.0,John N. Smith
120,Boomerang,1992-06-30,1.7525,40000000,70100000.0,Reginald Hudlin
121,Chungking Express,1994-07-14,0.0,0,0.0,Wong Kar-wai
122,The Star Maker,1995-09-21,0.0,0,0.0,Giuseppe Tornatore
123,Flirting with Disaster,1996-03-22,2.1003,7000000,14702438.0,David O. Russell
124,The Neverending Story III: Escape from Fantasia,1994-10-26,0.0,17000000,0.0,Peter MacDonald
125,The Silences of the Palace,1994-09-30,0.0,0,0.0,Moufida Tlatli
126,Jupiter's Wife,1995-01-01,0.0,0,0.0,Michel Negroponte
127,Pie in the Sky,1996-02-09,0.0,0,0.0,Bryan Gordon
128,Angela,1995-01-01,0.0,0,0.0,Rebecca Miller
129,Frankie Starlight,1995-11-22,0.0,0,0.0,Michael Lindsay-Hogg
130,Jade,1995-10-13,0.197,50000000,9851610.0,William Friedkin
131,Nueba Yol,1995-08-16,0.0,0,0.0,Ángel Muñiz
132,Sonic Outlaws,1995-08-01,0.0,0,0.0,Craig Baldwin
133,Down Periscope,1996-03-01,0.0,0,0.0,David S. Ward
134,From the Journals of Jean Seberg,1995-09-08,0.0,0,0.0,Mark Rappaport
135,Man of the Year,1995-09-15,0.0,0,209935.0,Dirk Shafer
136,The Neon Bible,1995-08-23,0.0,0,0.0,Terence Davies
137,Target,1995-08-01,0.0,0,0.0,Sandip Ray
138,Up Close & Personal,1996-03-01,0.0,60000000,0.0,Jon Avnet
139,The Birdcage,1996-03-08,5.9761,31000000,185260553.0,Mike Nichols
140,Virgin Mary,1995-10-12,0.0,0,0.0,Jakov Sedlar
141,The Brothers McMullen,1995-08-09,0.0,0,0.0,Edward Burns
142,Bad Boys,1995-04-07,7.4425,19000000,141407024.0,Michael Bay
143,The Amazing Panda Adventure,1995-08-25,0.0,0,0.0,Christopher Cain
144,The Basketball Diaries,1995-04-21,0.0,0,0.0,Scott Kalvert
145,An Awfully Big Adventure,1995-07-21,0.2129,4000000,851545.0,Mike Newell
146,Amateur,1994-08-05,0.0,0,0.0,Hal Hartley
147,Apollo 13,1995-06-30,6.8315,52000000,355237933.0,Ron Howard
148,Rob Roy,1995-04-13,1.1285,28000000,31596911.0,Michael Caton-Jones
149,The Addiction,1995-01-10,0.0,0,0.0,Abel Ferrara
150,Batman Forever,1995-06-16,3.3653,100000000,336529144.0,Joel Schumacher
151,Belle de Jour,1967-05-24,0.0,0,0.0,Luis Buñuel
152,Beyond Rangoon,1995-05-24,0.0,0,0.0,John Boorman
153,Blue in the Face,1995-09-15,0.6375,2000000,1275000.0,"Paul Auster, Wayne Wang"
154,Canadian Bacon,1995-06-08,0.0162,11000000,178104.0,Michael Moore
155,Casper,1995-05-26,5.7586,50000000,287928194.0,Brad Silberling
156,Clockers,1995-09-15,0.5229,25000000,13071518.0,Spike Lee
157,Congo,1995-06-09,3.0404,50000000,152022101.0,Frank Marshall
158,Crimson Tide,1995-05-12,2.9696,53000000,157387195.0,Tony Scott
159,Crumb,1994-09-10,0.0,0,3174695.0,Terry Zwigoff
160,Desperado,1995-08-25,3.6293,7000000,25405445.0,Robert Rodriguez
161,Devil in a Blue Dress,1995-09-15,0.5978,27000000,16140822.0,Carl Franklin
162,Die Hard: With a Vengeance,1995-05-19,4.0678,90000000,366101666.0,John McTiernan
163,The Doom Generation,1995-10-27,0.0,0,0.0,Gregg Araki
164,Feast of July,1995-10-12,0.0,0,0.0,Christopher Menaul
165,First Knight,1995-07-07,2.32,55000000,127600435.0,Jerry Zucker
166,Free Willy 2 - The Adventure Home,1995-07-19,0.0,0,0.0,Dwight H. Little
167,Hackers,1995-09-14,0.3782,20000000,7563728.0,Iain Softley
168,Jeffrey,1995-08-18,0.0,0,0.0,Christopher Ashley
169,Johnny Mnemonic,1995-05-26,0.763,25000000,19075720.0,Robert Longo
170,Judge Dredd,1995-06-30,1.261,90000000,113493481.0,Danny Cannon
171,Jury Duty,1995-04-12,0.0,0,17014653.0,John Fortenberry
172,Kids,1995-07-28,4.9415,1500000,7412216.0,Larry Clark
173,Living in Oblivion,1995-01-20,2.2975,500000,1148752.0,Tom DiCillo
174,Lord of Illusions,1995-08-25,0.0,0,0.0,Clive Barker
175,Love & Human Remains,1993-05-20,0.0,0,0.0,Denys Arcand
176,Mad Love,1995-05-26,0.0,0,15453274.0,Antonia Bird
177,Mallrats,1995-10-20,0.3538,6000000,2122561.0,Kevin Smith
178,Mighty Morphin Power Rangers: The Movie,1995-06-30,4.4,15000000,66000000.0,Bryan Spicer
179,Moonlight and Valentino,1995-09-29,0.0,0,0.0,David Anspaugh
180,Mute Witness,1995-09-28,0.5,2,1.0,Anthony Waller
181,Nadja,1994-09-13,0.0,0,0.0,Michael Almereyda
182,The Net,1995-07-28,5.0285,22000000,110627965.0,Irwin Winkler
183,Nine Months,1995-07-12,0.0,0,69660733.0,Chris Columbus
184,Party Girl,1995-06-09,3.1491,150000,472370.0,Daisy von Scherler Mayer
185,The Prophecy,1995-09-01,2.0,8,16.0,Gregory Widen
186,Reckless,1995-11-17,0.0,0,0.0,Norman René
187,Safe,1995-06-23,0.0,0,0.0,Todd Haynes
188,The Scarlet Letter,1995-10-13,0.2076,50000000,10382407.0,Roland Joffé
190,Showgirls,1995-09-22,0.4522,45000000,20350754.0,Paul Verhoeven
191,Smoke,1995-06-09,1.1928,7000000,8349430.0,"Wayne Wang, Paul Auster"
192,Something to Talk About,1995-08-04,0.0,0,50892160.0,Lasse Hallström
193,Species,1995-07-07,3.2393,35000000,113374103.0,Roger Donaldson
194,The Stars Fell on Henrietta,1995-09-15,0.0,0,0.0,James Keach
195,Strange Days,1995-10-13,0.1895,42000000,7959291.0,Kathryn Bigelow
196,The Umbrellas of Cherbourg,1964-02-19,0.0,0,0.0,Jacques Demy
197,The Tie That Binds,1995-09-08,0.4129,14000000,5780000.0,Wesley Strick
198,Three Wishes,1995-10-27,0.0,0,7025496.0,Martha Coolidge
199,Total Eclipse,1995-11-02,0.0,0,339889.0,Agnieszka Holland
200,"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-07,0.0,0,47774193.0,Beeban Kidron
201,Under Siege 2: Dark Territory,1995-07-13,1.7387,60000000,104324083.0,Geoff Murphy
202,Unstrung Heroes,1995-09-15,0.0,0,0.0,Diane Keaton
203,Unzipped,1995-08-11,0.0,0,0.0,Douglas Keeve
204,A Walk in the Clouds,1995-08-11,2.5006,20000000,50012507.0,Alfonso Aráu
205,Waterworld,1995-07-28,1.5098,175000000,264218220.0,Kevin Reynolds
206,White Man's Burden,1995-12-01,0.0,8000000,0.0,Desmond Nakano
207,Wild Bill,1995-12-01,0.0,30000000,0.0,Walter Hill
208,The Browning Version,1994-10-12,0.0,0,0.0,Mike Figgis
209,Bushwhacked,1995-08-04,0.0,0,0.0,Greg Beeman
210,Burnt by the Sun,1994-05-01,0.9345,2800000,2616503.0,Nikita Mikhalkov
211,Before the Rain,1994-06-09,0.0,0,763847.0,Milčo Mančevski
212,Before Sunrise,1995-01-27,2.2142,2500000,5535405.0,Richard Linklater
213,Billy Madison,1995-02-10,2.6489,10000000,26488734.0,Tamra Davis
214,The Babysitter,1995-10-17,0.0,0,0.0,Guy Ferland
215,Boys on the Side,1995-02-03,1.1167,21000000,23450000.0,Herbert Ross
216,The Cure,1995-04-21,0.0,0,0.0,Peter Horton
217,Castle Freak,1995-08-04,0.0,0,0.0,Stuart Gordon
218,Circle of Friends,1995-03-16,0.0,0,0.0,Pat O'Connor
219,Clerks,1994-09-13,116.7085,27000,3151130.0,Kevin Smith
220,Don Juan DeMarco,1994-10-01,0.888,25000000,22200000.0,Jeremy Leven
221,Disclosure,1994-12-09,3.8912,55000000,214015089.0,Barry Levinson
222,Dream Man,1995-01-01,0.0,0,0.0,René Bonnière
223,Drop Zone,1994-12-08,0.0,45000000,0.0,John Badham
224,Destiny Turns on the Radio,1995-04-28,0.0,0,0.0,Jack Baran
225,Death and the Maiden,1994-05-04,0.0,0,0.0,Roman Polanski
226,Dolores Claiborne,1995-03-24,0.0,0,0.0,Taylor Hackford
227,Dumb and Dumber,1994-12-16,15.4547,16000000,247275374.0,"Peter Farrelly, Bobby Farrelly"
228,Eat Drink Man Woman,1994-08-03,0.0,0,7294403.0,Ang Lee
229,Exotica,1994-09-24,0.0,0,0.0,Atom Egoyan
230,Exit to Eden,1994-10-14,0.0,0,6841570.0,Garry Marshall
231,Ed Wood,1994-09-27,0.3271,18000000,5887457.0,Tim Burton
232,French Kiss,1995-05-05,0.0,0,0.0,Lawrence Kasdan
233,Forget Paris,1995-05-19,0.0,0,0.0,Billy Crystal
234,Far from Home: The Adventures of Yellow Dog,1995-01-13,0.0,0,0.0,Phillip Borsos
235,A Goofy Movie,1995-04-07,0.0,0,35348597.0,"Kevin Lima, Paul Brizzi"
236,Hideaway,1995-03-03,0.8134,15000000,12201255.0,Brett Leonard
237,Fluke,1995-06-02,0.0,0,0.0,Carlo Carlei
238,Farinelli,1994-12-07,0.0,0,0.0,Gérard Corbiau
239,Gordy,1995-05-12,0.0,0,3992809.0,Mark Lewis
240,Gumby: The Movie,1995-12-01,0.0,0,0.0,Art Clokey
241,The Glass Shield,1994-09-16,0.0,0,0.0,Charles Burnett
242,Hoop Dreams,1994-09-12,11.1866,700000,7830611.0,Steve James
243,Heavenly Creatures,1994-09-02,0.6098,5000000,3049135.0,Peter Jackson
244,Houseguest,1995-01-06,2.5072,10500000,26325256.0,Randall Miller
245,Immortal Beloved,1994-12-16,0.0,120,0.0,Bernard Rose
246,Heavyweights,1995-02-17,0.0,0,17689177.0,Steven Brill
247,The Hunted,1995-02-24,0.0,0,0.0,J. F. Lawton
248,I.Q.,1994-12-24,0.0,25000000,0.0,Fred Schepisi
249,Interview with the Vampire,1994-11-11,3.7277,60000000,223664608.0,Neil Jordan
250,Jefferson in Paris,1995-03-31,0.1767,14000000,2474000.0,James Ivory
251,The Jerky Boys,1995-02-03,0.0,0,0.0,James Melkonian
252,Junior,1994-11-22,0.6167,60000000,37000000.0,Ivan Reitman
253,Just Cause,1995-02-17,0.0,0,0.0,Arne Glimcher
254,A Kid in King Arthur's Court,1995-08-11,0.0,0,0.0,Michael Gottlieb
255,Kiss of Death,1995-04-21,0.0,40000000,0.0,Barbet Schroeder
256,Star Wars,1977-05-25,70.4907,11000000,775398007.0,George Lucas
257,Little Women,1994-12-21,0.0,18000000,0.0,Gillian Armstrong
258,A Little Princess,1995-05-10,0.0,17000000,0.0,Alfonso Cuarón
259,Ladybird Ladybird,1994-02-18,0.0,0,0.0,Ken Loach
260,L'Enfer,1994-02-16,0.0,10000000,0.0,Claude Chabrol
261,Like Water for Chocolate,1992-04-16,10.8327,2000000,21665468.0,Alfonso Aráu
262,Legends of the Fall,1994-12-16,5.3546,30000000,160638883.0,Edward Zwick
263,Major Payne,1995-03-24,0.0,0,0.0,Nick Castle
264,Little Odessa,1994-10-27,0.0,0,0.0,James Gray
265,Mi Vida Loca,1994-06-08,0.0,0,0.0,Allison Anders
266,Love Affair,1994-10-21,0.0,60000000,0.0,Glenn Gordon Caron
267,Losing Isaiah,1995-03-17,0.4473,17000000,7603766.0,Stephen Gyllenhaal
268,The Madness of King George,1994-12-28,0.0,0,0.0,Nicholas Hytner
269,Mary Shelley's Frankenstein,1994-11-04,2.489,45000000,112006296.0,Kenneth Branagh
270,Man of the House,1995-03-03,0.0,0,0.0,James Orr
271,Mixed Nuts,1994-12-21,0.0,15000000,0.0,Nora Ephron
272,Milk Money,1994-08-31,0.0,0,18137661.0,Richard Benjamin
273,Miracle on 34th Street,1994-11-18,0.0,0,46264384.0,Les Mayfield
274,Miami Rhapsody,1995-01-27,0.8333,6,5.0,David Frankel
275,My Family,1995-05-03,0.0,5500000,0.0,Gregory Nava
276,Murder in the First,1995-01-20,0.0,0,17381942.0,Marc Rocco
277,Nobody's Fool,1994-12-23,0.0,0,0.0,Robert Benton
278,Nell,1994-12-23,3.4414,31000000,106683817.0,Michael Apted
279,New Jersey Drive,1995-04-19,0.0,0,0.0,Nick Gomez
280,New York Cop,1993-08-14,0.0,0,0.0,Tōru Murakawa
281,Beyond Bedlam,1994-04-22,0.0,4800000,0.0,Vadim Jean
282,Nemesis 2 - Nebula,1995-09-26,0.0,0,0.0,Albert Pyun
283,Nina Takes a Lover,1995-03-03,0.0,0,0.0,Alan Jacobs
284,Natural Born Killers,1994-08-25,1.4789,34000000,50282766.0,Oliver Stone
285,Only You,1994-09-17,0.0,0,0.0,Norman Jewison
286,Once Were Warriors,1994-09-02,0.0,0,2201126.0,Lee Tamahori
287,Poison Ivy II: Lily,1996-01-16,0.0,0,0.0,Anne Goursaud
288,Outbreak,1995-03-10,3.7972,50000000,189859560.0,Wolfgang Petersen
289,Leon: The Professional,1994-09-14,2.8303,16000000,45284974.0,Luc Besson
290,The Perez Family,1995-05-12,0.2575,11000000,2832826.0,Mira Nair
291,A Pyromaniac's Love Story,1995-04-28,0.0,0,0.0,Joshua Brand
292,Pulp Fiction,1994-09-10,26.7411,8000000,213928762.0,Quentin Tarantino
293,Panther,1995-11-10,0.0,0,6834525.0,Mario Van Peebles
294,Pushing Hands,1992-02-01,0.3808,400000,152322.0,Ang Lee
295,Priest,1994-01-01,0.0,0,4176932.0,Antonia Bird
296,Quiz Show,1994-09-16,0.0,0,0.0,Robert Redford
297,Picture Bride,1995-05-05,0.0,0,0.0,Kayo Hatta
298,Queen Margot,1994-05-13,0.0,0,0.0,Patrice Chéreau
299,The Quick and the Dead,1995-02-09,0.5798,32000000,18552460.0,Sam Raimi
300,Roommates,1995-03-01,0.5636,22000000,12400000.0,Peter Yates
301,Prêt-à-Porter,1994-12-23,0.7534,15000000,11300653.0,Robert Altman
302,Three Colors: Red,1994-05-27,0.0,0,0.0,Krzysztof Kieślowski
303,Three Colors: Blue,1993-01-10,0.0,0,0.0,Krzysztof Kieślowski
304,Three Colors: White,1994-01-26,0.0,0,0.0,Krzysztof Kieślowski
305,"Red Firecracker, Green Firecracker",1994-10-14,0.0,0,0.0,He Ping
306,Rent-a-Kid,1995-01-01,0.0,0,0.0,Fred Gerber
307,Relative Fear,1995-10-03,0.0,0,0.0,George Mihalka
308,Stuart Saves His Family,1995-04-12,0.0,0,0.0,Harold Ramis
309,The Swan Princess,1994-11-18,0.2792,35000000,9771658.0,Richard Rich
310,The Secret of Roan Inish,1994-01-01,0.0,0,0.0,John Sayles
311,The Specialist,1994-10-07,3.7858,45000000,170362582.0,Luis Llosa
312,Stargate,1994-10-27,3.574,55000000,196567262.0,Roland Emmerich
313,The Santa Clause,1994-11-10,8.6288,22000000,189833357.0,John Pasquin
314,The Shawshank Redemption,1994-09-23,1.1337,25000000,28341469.0,Frank Darabont
315,Shallow Grave,1994-12-22,0.0,0,0.0,Danny Boyle
316,Suture,1993-09-14,0.0,0,102780.0,"Scott McGehee, David Siegel"
317,Strawberry and Chocolate,1993-01-01,0.0,0,0.0,"Tomás Gutiérrez Alea, Juan Carlos Tabío"
318,Swimming with Sharks,1994-09-10,0.0,0,0.0,George Huang
319,The Sum of Us,1994-07-12,0.0,32,0.0,"Kevin Dowling, Geoff Burton"
320,Senior Trip,1995-09-08,0.0,0,0.0,Kelly Makin
321,To Live,1994-06-30,0.0,0,0.0,Zhang Yimou
322,Tank Girl,1995-03-31,0.1626,25000000,4064495.0,Rachel Talalay
323,Tales from the Crypt: Demon Knight,1995-01-13,0.0,0,0.0,Ernest R. Dickerson
324,Star Trek: Generations,1994-11-17,3.1579,38000000,120000000.0,David Carson
325,Tales from the Hood,1995-05-24,2.0,6000000,12000000.0,Rusty Cundieff
326,Tom & Viv,1994-04-15,0.0,0,0.0,Brian Gilbert
327,Village of the Damned,1995-04-28,0.0,0,0.0,John Carpenter
328,Tommy Boy,1995-03-31,0.0,0,32648673.0,Peter Segal
329,Vanya on 42nd Street,1994-09-13,0.0,0,0.0,Louis Malle
330,The Underneath,1995-04-28,0.0,6500000,0.0,Steven Soderbergh
331,The Walking Dead,1995-02-24,0.0,0,0.0,Preston A. Whitmore II
332,What's Eating Gilbert Grape,1993-12-17,0.9121,11000000,10032765.0,Lasse Hallström
333,Virtuosity,1995-08-04,0.8016,30000000,24048000.0,Brett Leonard
334,While You Were Sleeping,1995-04-21,10.7092,17000000,182057016.0,Jon Turteltaub
335,The War,1994-11-04,0.0,0,0.0,Jon Avnet
336,Double Happiness,1994-09-07,0.0,0,759393.0,Mina Shum
337,Muriel's Wedding,1994-09-29,5.0399,3000000,15119639.0,P.J. Hogan
338,The Baby-Sitters Club,1995-08-18,0.0,0,0.0,Melanie Mayron
339,Ace Ventura: Pet Detective,1994-02-04,7.1478,15000000,107217396.0,Tom Shadyac
340,"The Adventures of Priscilla, Queen of the Desert",1994-05-31,0.0,0,11220670.0,Stephan Elliott
341,Backbeat,1994-04-01,0.0,0,0.0,Iain Softley
342,Bitter Moon,1992-09-02,0.3726,5000000,1862805.0,Roman Polanski
343,Bullets Over Broadway,1994-10-14,0.0,0,0.0,Woody Allen
344,Clear and Present Danger,1994-08-03,3.4821,62000000,215887717.0,Phillip Noyce
345,The Client,1994-07-20,2.6137,45000000,117615211.0,Joel Schumacher
346,"Corrina, Corrina",1994-08-12,0.0,0,0.0,Jessie Nelson
347,Crooklyn,1994-05-13,0.0,0,0.0,Spike Lee
348,The Crow,1994-05-11,6.2667,15000000,94000000.0,Alex Proyas
349,Cobb,1994-12-02,0.0,0,1007583.0,Ron Shelton
350,The Flintstones,1994-05-26,7.4268,46000000,341631208.0,Brian Levant
351,Forrest Gump,1994-07-06,12.3263,55000000,677945399.0,Robert Zemeckis
352,Four Weddings and a Funeral,1994-03-09,42.4501,6000000,254700832.0,Mike Newell
353,Higher Learning,1995-01-11,0.0,0,38290723.0,John Singleton
354,I Like It Like That,1994-10-14,0.0,0,1777020.0,Darnell Martin
355,I Love Trouble,1994-06-29,1.3766,45000000,61947267.0,Charles Shyer
356,It Could Happen to You,1994-07-29,0.0,0,0.0,Andrew Bergman
357,The Jungle Book,1994-12-23,0.0,0,0.0,Stephen Sommers
358,"The Wonderful, Horrible Life of Leni Riefenstahl",1993-09-11,0.0,0,449707.0,Ray Müller
359,The Lion King,1994-06-23,17.5165,45000000,788241776.0,"Roger Allers, Rob Minkoff"
360,Little Buddha,1993-12-01,0.1388,35000000,4858139.0,Bernardo Bertolucci
361,New Nightmare,1994-10-13,1.2922,14000000,18090181.0,Wes Craven
