,title,generos,idioma,actores,overview,vote_count,popularity,runtime,release_date
600,Troy,"Adventure, Drama, War",English,"Brad Pitt, Orlando Bloom, Eric Bana, Brian Cox, Sean Bean, Brendan Gleeson, Diane Kruger, Peter O'Toole, Rose Byrne, Saffron Burrows, Garrett Hedlund, Vincent Regan, Julie Christie, Nathan Jones, John Shrapnel, James Cosmo, Nigel Terry, Julian Glover, Trevor Eve, Frankie Fitzgerald","In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnom to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans.",2841,15.387275,163.0,2004-05-13
601,Adventures in Babysitting,"TV Movie, Comedy",English,"Sabrina Carpenter, Sofia Carson, Max Lloyd-Jones, Gillian Vigman, Alissa Skovbye, Kevin O'Grady, Arielle Tuliao, Kevin G. Quinn, Nikki Hahn, Jet Jurgensmeyer, Lisa MacFadden, J.C. Williams, Mallory James Mahoney, Max Gecowets","Two teen rival babysitters, Jenny and Luci, team up to hunt down one of their kids who accidentally run away into the big city without any supervision.",71,15.370164,105.0,2016-06-24
602,The Matrix Revolutions,"Adventure, Action, Thriller, Science Fiction","English, Français","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Mary Alice, Helmut Bakaitis, Lambert Wilson, Roy Jones Jr., Randall Duk Kim, Harry Lennix, Matt McColm, Harold Perrineau, Jada Pinkett Smith, Gina Torres, Collin Chou, Cornel West, Nona Gaye, Monica Bellucci, Maurice Morgan, Bernard White, Ian Bliss, Bruce Spence",The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,3155,15.368205,129.0,2003-11-05
603,Star Trek,"Science Fiction, Action, Adventure",English,"Chris Pine, Zachary Quinto, Leonard Nimoy, Eric Bana, Bruce Greenwood, Karl Urban, Zoe Saldana, Simon Pegg, John Cho, Anton Yelchin, Ben Cross, Winona Ryder, Chris Hemsworth, Jennifer Morrison, Rachel Nichols, Faran Tahir, Clifton Collins Jr, Greg Ellis, Scottie Thompson, Paul McGillion, Lucia Rijker, Jimmy Bennett, Greg Grunberg, Lisa Vidal, Jacob Kogan, Tyler Perry, Amanda Foreman, Diora Baird, Sufe Bradshaw, Tony Elias, Sean Gerace, Randy Pausch, Tim Griffin, Freda Foh Shen, Kasia Kowalczyk, Jason Brooks, Sonita Henry, Kelvin Yu, Marta Martin, Tavarus Conley, Jeff Castle, Billy Brown, Spencer Daniels, Jeremy Fitzgerald, Zoe Chernov, Max Chernov, Lorenzo James Henrie, Colby Paul, Cody Klop, Akiva Goldsman, Anna Katarina, Douglas Tait, Tony Guma, Gerald W. Abrams, James McGrath, Jason Matthew Smith, Marcus Young, Bob Clendenin, Reggie Lee, Jeffrey Byron, Jonathan Dixon, Ben Binswagner, Margot Farley, Alex Nevil, Kimberly Arland, Jeff Chase, Charles Haugk, Nana Hill, Michael Saglimbeni, John Blackman, Jack Millard, Shaela Luter, Sabrina Morris, Michelle Parylak, Oz Perkins, Michael Berry Jr., Matthew Beisner, Neville Page, Jesper Inglis, Marlene Forte, Leonard O. Turner, Mark Bramhall, Ronald F. Hoiseck, Irene Roseen, Jeff O'Haco, Deep Roy, Majel Barrett, Rico E. Anderson, Richard Arnold, Tad Atkinson, Leslie Augustine, Johnny Baca, Sala Baker, Leo Baligaya, Corey Becker, Jessica Boss, Neil S. Bulk, James Cawley, Brad Champagne, Zachary Culbertson, Calvin Dean, Christopher Doohan, Claire Doré, Mark Casimir Dyniewicz, Etienne Eckert, Ken Edling, Aliza Finley, Ian Fisher, Mathew Thomas Foss, Massi Furlan, Victor Garber, Tommy Germanovich Jr., Mary Grace, Wyatt Gray, Joshua Greene, Nancy Guerriero, Justin Rodgers Hall, Jeffery Hauser, Brad William Henke, Elizabeth Ingalls, Christopher Karl Johnson, Jolene Kay, Sarah Klaren, Makiko Konishi, Bryan Lee, Daniel D. Lee, Anne Leighton, Steve Luna, Aaron Lynch, Justin Malachi, Nav Mann, Paul Marshall, Owen Martin, Taylor McCluskey, Matthew McGregor, Caitlin McKenna-Wilkinson, Patrizia Milano, Kevin Moser, Jonathan W.D. Newkerk, Westley Nguyen, Jim Nieb, Andres Perez-Molina, Mark Phelan, Damion Poitier, Rahvaunia, Bertrand Roberson Jr., Deborah Rombaut, Leonard Jonathan Ruebe, Ramona Seymour, William Morgan Sheppard, Katie Soo, Ronnie Steadman, Joseph Stephens Jr., Joseph Steven, T.J. Storm, Paul Townsend, Scott Trimble, Errik Tustenuggee, Ravi Valleti, Jason Vaughn, A.J. Verel, Brian Waller, Steve Wharton, Wil Wheaton, Brianna Womick, Lynnanne Zager, Pavel Lychnikoff, Darlena Tejeiro","The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.",4574,15.362632,127.0,2009-05-06
604,976-EVIL,Horror,English,"Stephen Geoffreys, Patrick O'Bryan, Sandy Dennis, Jim Metzler, Maria Rubell, Lezlie Deane, Robert Picardo, J.J. Cohen, Paul Willson, Greg Collins, Darren E. Burrows, J.J. Johnston, Wendy J. Cooke, Tom McFadden, Mindy Seeger","People who dial 976-EVIL receive supernatural powers and turn into satanic killers. When Spike dialed 976-EVIL, he knew it was an expensive toll call, but he didn't know that he'd have to pay for it with his soul.",33,15.360682,92.0,1988-12-09
605,Apt Pupil,"Drama, Thriller","English, Deutsch","Ian McKellen, Brad Renfro, David Schwimmer, Bruce Davison, Ann Dowd, Elias Koteas, Joe Morton, Jan Tříska, Joshua Jackson, Mickey Cottrell, Michael Reid MacKay, James Karen, Marjorie Lovett, David Cooley, Blake Anthony Tibbetts, Heather McComb, Katherine Malone, Grace Sinden",Neighborhood boy Todd Bowden discovers that an old man living on his block named Arthur Denker is nazi war criminal. Bowden confronts Denker and offers him a deal: Bowden will not go to the authorities if Denker tells him stories of the concentration camps in WWII...,168,15.352714,107.0,1998-10-23
606,The Belko Experiment,"Action, Horror, Thriller",English,"John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley, Melonie Diaz, Josh Brener, Michael Rooker, Owain Yeoman, Sean Gunn, Brent Sexton, David Dastmalchian, David Del Rio, Rusty Schwimmer, Gail Bean, James Earl, Abraham Benrubi, Valentine Miele, Stephen Blackehart, Benjamin Byron Davis, Silvia de Dios, Cindy Better, Andrés Suárez, Joe Fria, Mikaela Hoover, Maia Landaburu, Santiago Bejarano, Maruia Shelton, Luna Baxter, Juan Manuel Lenis, Kristina Lilley, Monica Giraldo, Maria Juliana Caicedo, Juan Ortega, Manuel Torres, Yeison Alvarez, Guillermo Galindo, Silvia Varon, Gregg Henry, Julio Nava, Ricardo Hoyos, Anton Tarazov, Isnardo Saenz, Lorena Tobar, Alvaro Garcia, Alietta Montero, Ximena Rodriguez, Juan Villegas, Gamal Dillard, Carlos Enrique Gómez","In a twisted social experiment, a group of 80 Americans are locked in their high-rise corporate office in Bogotá, Colombia and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed.",269,15.352467,88.0,2016-03-17
607,From Dusk Till Dawn,"Horror, Action, Thriller, Crime","English, Español","George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis, Ernest Liu, Salma Hayek, Cheech Marin, Danny Trejo, Tom Savini, Fred Williamson, Michael Parks, Brenda Hillhouse, John Saxon, Marc Lawrence, Kelly Preston, John Hawkes, Tito Larriva, Peter Atanasoff, Johnny Vatos Hernandez, Aimee Graham, Heidi McNeal, Ernest M. Garcia, Gregory Nicotero, Cristos, Mike Moroff, Tia Texada, Janine Jordae, Ungela Brockman, Michelle Berube, Michael McKay, Jake McKinnon, Walter Phelan, Wayne Toth","Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",1644,15.339153,108.0,1996-01-19
608,Basic Instinct 2,"Crime, Mystery, Thriller","English, Deutsch","Sharon Stone, David Morrissey, Charlotte Rampling, David Thewlis, Stan Collymore, Indira Varma, Heathcote Williams, Hugh Dancy, Terence Harvey, Jan Chappell, Neil Maskell, Ellen Thomas, Flora Montgomery, Kata Dobó, Iain Robertson, Charlie Simpson, Danielle Lydon, Christopher Brand, Charlotte Purton, Adam Allfrey, Mark Sangster, Tim Berrington, Vee Vimolmal, Simon Lenagan, Clair Tebbut, Aisling O'Neill, Martin Heathcote, Robyn Cooper, Peter Rnic, Robert Dearle, Keith How, Alexandra Staden, Elizabeth Adamczyk, João Costa Menezes, Andre Schneider, Timo Gilbert, Robert Clarke","Novelist Catherine Tramell is once again in trouble with the law, and Scotland Yard appoints psychiatrist Dr. Michael Glass to evaluate her. Though, like Detective Nick Curran before him, Glass is entranced by Tramell and lured into a seductive game.",183,15.321902,114.0,2006-03-29
609,Cube²: Hypercube,"Thriller, Science Fiction, Mystery",English,"Kari Matchett, Geraint Wyn Davies, Grace Lynn Kung, Matthew Ferguson, Neil Crone, Barbara Gordon, Lindsey Connell, Greer Kent, Bruce Gray, Philip Akin, Paul Robbins, Andrew Scorer",The sequel to the low budget first film ‘Cube.’ This time the prisoners find them selves in a more advanced cube environment that they must escape from before they are killed. A science fiction film where space and time have more than one path.,383,15.317489,94.0,2002-04-15
610,Earth,Documentary,"English, Português","Patrick Stewart, Constantino Romero, James Earl Jones, Ken Watanabe, Ulrich Tukur, Anggun","From the acclaimed team that brought you BBC's visual feast ""Planet Earth,"" this feature length film incorporates some of the same footage from the series with all new scenes following three remarkable, yet sadly endangered, families of animal across the globe.",136,15.30326,90.0,2007-04-22
611,Seventh Son,"Adventure, Fantasy",English,"Jeff Bridges, Julianne Moore, Ben Barnes, Alicia Vikander, Kit Harington, Djimon Hounsou, Olivia Williams, Antje Traue, Jason Scott Lee, David Cubitt, Eric Keenleyside, Thai-Hoa Le, Carmel Amit, Gerard Plunkett, Jim Shield, Timothy Webber, Julian Black Antelope, Luc Roderique, Sean Carey, Fraser Aitcheson, Zahf Paroo, Loyd Catlett, Primo Allon, Lilah Fitzgerald, Taya Clyne, Faustino Di Bauda, Billy Wickman, Duffy, Marcel Bridges, Yaroslav Poverlo, Isabelle Landry, Jason Asuncion, Joanne Bentley, Anthony Welch, Brenda McDonald","John Gregory, who is a seventh son of a seventh son and also the local spook, has protected the country from witches, boggarts, ghouls and all manner of things that go bump in the night. However John is not young anymore, and has been seeking an apprentice to carry on his trade. Most have failed to survive. The last hope is a young farmer's son named Thomas Ward. Will he survive the training to become the spook that so many others couldn't?",980,15.297821,102.0,2014-12-12
612,48 Hrs.,"Thriller, Action, Comedy, Crime, Drama",English,"Nick Nolte, Eddie Murphy, Annette O'Toole, Frank McRae, James Remar, David Patrick Kelly, Sonny Landham, Brion James, Kerry Sherman, Jonathan Banks, James Keane, Tara King, Greta Blackburn, Margot Rose, Denise Crosby, Olivia Brown, Todd Allen, Bill Dearth, Ned Dowd, Jim Haynie, Jack Thibeau, Jon St. Elwood, Clare Nono, Sandy Martin, Matt Landers, Peter Jason, Bill Cross, Chris Mulkey, Marcelino Sanchez, Bennie Dobbins, Walter Scott, W. T. Zacha, Loyd Catlett, B. G. Fisher, Reid Cruickshanks, R. D. Call, Brenda Venus, Gloria Gifford, Nick Dimitri, John Dennis Johnston, Rock A. Walker, Dave Moordigian, J. Wesley Huston, Gary Pettinger, Marquerita Wallace, Angela Robinson, Jack Lightsy, John Hauk, Bob Yanez, Clint Smith, Luis Contreras, Suzanne M. Regard, Ola Ray, Bjaye Turner, Begonya Plaza","A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.",364,15.297121,96.0,1982-12-07
613,Find Me Guilty,Drama,English,"Vin Diesel, Alex Rocco, Frank Pietrangolare, Richard DeDomenico, Paul Borghese, Vinny Vella, Frank Adonis, Jerry Grayson, Tony Ray Rossi, Peter Dinklage, Richard Portnow, James Biberi, Salvatore Paul Piro, Frankie Perrone, Nicholas A. Puccio, Chuck Cooper, Steven Randazzo, Gerry Vichi, Oscar A. Colon, Ben Lipitz","Based on the true story of Jack DiNorscio, a mobster who defended himself in court for what would be the longest mafia trial in U.S. history.",139,15.295949,125.0,2006-03-16
614,Last Night,"Drama, Romance",English,"Keira Knightley, Sam Worthington, Eva Mendes, Guillaume Canet, Griffin Dunne, Scott Adsit, Anson Mount, Daniel Eric Gold, Stephanie Romanov, Justine Cotsonas, Stephen Mailer, Rae Ritke, Chriselle Almeida, Zach Poole, Jon Norman Schneider","The story follows a married couple, apart for a night while the husband takes a business trip with a colleague to whom he's attracted. While he's resisting temptation, his wife encounters her past love.",243,15.280219,90.0,2010-05-11
615,Moonwalker,"Fantasy, Music",English,"Michael Jackson, Joe Pesci, Mick Jagger, Sean Lennon, Brandon Quintin Adams, Maurissa Tancharoen, Kellie Parker, Ben Aaron, Bilal, Brent Kelly, Danial Brown, Cindera Che","A movie that starts out with the ""Man in the Mirror"" music video, it then changes to a montage of video clips of Michael's career. Next comes a parody of his Bad video by children, and then Michael is chased by fans in a fantasy sequence. 2 more videos are shown, and then a movie in which Michael plays a hero with magical powers. In it he is chased by drug dealer Mr. Big and saves three children. Videos included in the movie are ""Smooth Criminal"" and ""Come Together"".",126,15.276746,93.0,1988-10-29
616,The Client,"Drama, Thriller, Crime, Mystery",English,"Susan Sarandon, Tommy Lee Jones, Mary-Louise Parker, Anthony LaPaglia, Bradley Whitford, Will Patton, Brad Renfro, Anthony Edwards, J.T. Walsh, Anthony Heald, Kim Coates, Kimberly Scott, David Speck, William H. Macy, Rebecca Jernigan","A street-wise kid, Mark Sway, sees the suicide of Jerome Clifford, a prominent Louisiana lawyer, whose current client is Barry 'The Blade' Muldano, a Mafia hit-man. Before Jerome shoots himself, he tells Mark where the body of a Senator is buried. Clifford shoots himself and Mark is found at the scene, and both the FBI and the Mafia quickly realize that Mark probably knows more than he says.",287,15.263829,119.0,1994-07-20
617,Valerian and the City of a Thousand Planets,"Adventure, Science Fiction, Action","Français, English","Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna, Ethan Hawke, Herbie Hancock, Kris Wu, Rutger Hauer, John Goodman, Elizabeth Debicki, Sam Spruell, Alain Chabat, Thom Findlay, Mathieu Kassovitz, Jonas Bloquet, Sand Van Roy, Sasha Luss, Louis Leterrier, Olivier Megaton, Sam Douglas, Aymeline Valade, Diva Cam, Eric Lampaert, Alexandre Willaume-Jantzen, Gavin Drea, Réginal Kudiwu, David Michie, Marion Roussignol, Emilie Pommelet, Roman Blomme, Emilie Livingston, Alexandre Nguyen, Aurelien Gaya, Mikael Buxton, Yun Lai, Anders Heinrichsen, Tristan Robin, Yun-Ping He, James Flynn, David Clark, Ben Mauro, Jean-François Lenogue, Peter Eberst, Peter Hudson, Xavier Giannoli, Eric Rochant, Benoît Jacquot, Gérard Krawczyk, Pierre Cachia, David Saada, Hippolyte Burkhart-Uhlen, Florian Guichard, Stéphane Mir, Thierry Barthe, Pier Ewudu, Andrew Tisba, Yannick Lorté, Charly Akakpo, Clément Beauruelle, Audrey Kamp, Anthony Hornez, Julien Bleitrach, Maxime Babara Touré, Pauline Hoarau, Barbare Weber Scaff, Marilhéa Peillard, Lee Delong, Judith Brunett, Marie Barrouillet, Cindy Bruna, Sija Titko, Daphnée Kbidi, Nick Marzock, Ola Rapace, Stefan Konarske, Mahamadou Coulibaly, Julien Marlin, Yvan Lucker, Tom Hygreck, Abel Jafri, Laurent Ferraro, Jean-Robert Lombard, Leonid Glushchenko, Akim Chir, Laminé Ba, Paul Lefèvre, Guillaume Maison, Jean-Christophe Brizard, Patrick Cottet-Moine, Irene Palko, Tonio Descanvelle, Velvet D'Amour, Doug Rand, Grant Moninger, Robbie Rist, Christopher Swindel, Claire Tran, Alain Etoundi, Fayet Nsumoto, Kristina Kachinskaya, Veronika Khayla, Sissi Duparc, Noam Frost, Pauline Serreau, Philippe Rigot, Étienne Ménard, Peter Lamarque, Maximilien Seweryn, Zouheir Zerhouni, Tristan Zerbib, Elliot Jenicot, Staiv Gentis, Chloe Hollings, Aguendia Fotabong, Tania Dessources, Gaëtan Cotigny, François Bredon, Cédric Chevalme","In the 28th century, Valerian and Laureline are special operatives charged with keeping order throughout the human territories. On assignment from the Minister of Defense, the two undertake a mission to Alpha, an ever-expanding metropolis where species from across the universe have converged over centuries to share knowledge, intelligence, and cultures. At the center of Alpha is a mysterious dark force which threatens the peaceful existence of the City of a Thousand Planets, and Valerian and Laureline must race to identify the menace and safeguard not just Alpha, but the future of the universe.",905,15.262706,137.0,2017-07-20
618,Final Fantasy VII: Advent Children,"Action, Adventure, Animation, Fantasy",日本語,"Takahiro Sakurai, Toshiyuki Morikawa, Ayumi Ito, Keiji Fujiwara, Kyosuke Ikeda, Megumi Toyoguchi, Maaya Sakamoto, Rina Mogami, Kazuyuki Yama, Shoutarou Morikubo, Yumi Kakazu, 野島 健児, Masachika Ichimura, Taiten Kusunoki, Toru Okawa, Hideo Ishikawa, Junichi Suwabe, Shôgo Suzuki, Masahiro Kobayashi, Miyuu Tsuzuhara, Yūji Kishi, Kenichi Suzumura","Two years have passed since the final battle with Sephiroth. Though Midgar, city of mako, city of prosperity, has been reduced to ruins, its people slowly but steadily walk the road to reconstruction. However, a mysterious illness called Geostigma torments them. With no cure in sight, it brings death to the afflicted, one after another, robbing the people of their fledgling hope.",290,15.260291,101.0,2005-07-14
619,The Notebook,"Romance, Drama",English,"Rachel McAdams, Ryan Gosling, Gena Rowlands, James Garner, Sam Shepard, Joan Allen, James Marsden, David Thornton, Kevin Connolly, Starletta DuPois, Ed Grady, Jennifer Echols, Heather Wahlquist, Jonathan Parks Jordan, Cullen Moss, Traci Dinwiddie, James Middleton, Peter Rosenfeld, Obba Babatundé, Chuck Pacheco, Todd Lewis, Mark Johnson, Robert Fraisse, Barbara Weetman, Jamie Anne Allman, Rebecca Koon, Deborah Hobart, Sylvia Jefferies, Mark Garner, Scott Ritenour, Milton Buras, Elizabeth Bond, Matthew Barry, Nancy De Mayo, David Abrams, Taylor Engel, Bob Forrest, Paul Johansson, Bruce Williamson","An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",3163,15.239013,123.0,2004-06-25
620,Runaway Train,"Action, Thriller",English,"Jon Voight, Eric Roberts, Rebecca De Mornay, Kyle T. Heffner, John P. Ryan, T. K. Carter, Kenneth McMillan, Stacey Pickren, Walter Wyatt, Edward Bunker, Reid Cruickshanks, Dan Wray, Michael Lee Gogin, John Bloom, Hank Worden, Danny Trejo, Tom Lister Jr., Dennis Franz, John Otrin, Norman Alexander Gibbs, Dennis Ott, Don Pugsley, John Fountain, Wally Rose",A hardened convict and a younger prisoner escape from a brutal prison in the middle of winter only to find themselves on an out-of-control train with a female railway worker while being pursued by the vengeful head of security.,129,15.236541,111.0,1985-11-15
621,Elysium,"Science Fiction, Action, Drama, Thriller",English,"Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga, Diego Luna, Wagner Moura, William Fichtner, Faran Tahir, Jose Pablo Cantillo, Maxwell Perry Cotton, Brandon Auret, Josh Blacker, Emma Tremblay, Adrian Holmes, Jared Keeso, Michael Shanks, Carly Pope, Ona Grauer, Terry Chen, Chris Shields, Christina Cox, Derek Gilroy, Talisa Soto, Claire Smithies","In the year 2159, two classes of people exist: the very wealthy who live on a pristine man-made space station called Elysium, and the rest, who live on an overpopulated, ruined Earth. Secretary Rhodes (Jodie Foster), a hard line government ofﬁcial, will stop at nothing to enforce anti-immigration laws and preserve the luxurious lifestyle of the citizens of Elysium. That doesn’t stop the people of Earth from trying to get in, by any means they can. When unlucky Max (Matt Damon) is backed into a corner, he agrees to take on a daunting mission that, if successful, will not only save his life, but could bring equality to these polarized worlds.",3510,15.232738,109.0,2013-08-07
622,The Last of the Mohicans,"Action, Adventure, Drama, History, Romance, War","English, Français","Daniel Day-Lewis, Madeleine Stowe, Russell Means, Eric Schweig, Jodhi May, Steven Waddington, Wes Studi, Maurice Roeves, Patrice Chéreau, Edward Blatchford, Terry Kinney, Tracey Ellis, Justin M. Rice, Dennis Banks, Pete Postlethwaite","As the English and French soldiers battle for control of the American colonies in the 18th century, the settlers and native Americans are forced to take sides. Cora and her sister Alice unwittingly walk into trouble but are reluctantly saved by Hawkeye, an orphaned settler adopted by the last of the Mohicans.",747,15.228794,112.0,1992-09-25
623,Big Top Pee-wee,"Comedy, Family",English,"Paul Reubens, Penelope Ann Miller, Kris Kristofferson, Valeria Golino, Benicio del Toro, Wayne White, Susan Tyrrell, Albert Henderson, Jack Murdock, David Byrd, Mary Jackson, Frances Bay, Leo Gordon, Anne Seymour, Kenneth Tobey, Jay Robinson, Stephanie Hodge, Franco Columbu, Kevin Peter Hall, Lynne Marie Stewart, Dustin Diamond","Paul Reubens stars as Pee-wee Herman in his second full-length film about a farmer who joins the circus after a storm drops a big tent in his front yard. Pee-wee, along with an outlandish cast of animals and circus performers, puts on the best show ever.",30,15.227522,86.0,1988-07-22
624,Seed of Chucky,"Drama, Horror, Comedy",English,"Brad Dourif, Jennifer Tilly, Billy Boyd, Redman, Hannah Spearritt, John Waters, Steve West, Rebecca Santos, Keith-Lee Castle, Jason Flemyng, Nicholas Rowe, Stephanie Chambers, Simon James Morgan, Bethany Simons-Danville","The killer doll is back! The all-new film is the fifth in the popular series of Chucky (""Child's Play"") horror comedies. Making his directorial debut is the franchise creator and writer of all five films, Don Mancini. The film introduces Glen (voiced by ""The Lord of the Rings"" star Billy Boyd), the orphan doll offspring of the irrepressible devilish-doll-come-to-life Chucky (again voiced by series",302,15.216315,87.0,2004-11-11
625,Mr. Popper's Penguins,"Comedy, Family",English,"Jim Carrey, Carla Gugino, Madeline Carroll, Angela Lansbury, Ophelia Lovibond, Clark Gregg, Jeffrey Tambor, David Krumholtz, Philip Baker Hall, James Tupper, Dominic Chianese, William Charles Mitchell, Kelli Barrett, Maxwell Perry Cotton, Henry Kelemen, Dylan Clark Marshall, Cynthia Kirchner","Jim Carrey stars as Tom Popper, a successful businessman who’s clueless when it comes to the really important things in life...until he inherits six “adorable” penguins, each with its own unique personality. Soon Tom’s rambunctious roommates turn his swank New York apartment into a snowy winter wonderland — and the rest of his world upside-down.",775,15.214342,94.0,2011-06-17
626,Stand by Me,"Crime, Drama",English,"Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell, Kiefer Sutherland, Richard Dreyfuss, John Cusack, Casey Siemaszko, Bradley Gregg, Marshall Bell, Gary Riley, Frances Lee McCain, Scott Beach, Jason Oliver, Bruce Kirby, William Bronder","After the death of a friend, a writer recounts a boyhood journey to find the body of a missing boy.",1568,15.206957,89.0,1986-08-22
627,First Knight,"Action, Adventure, Drama, Romance","English, Français","Sean Connery, Richard Gere, Julia Ormond, Ben Cross, Liam Cunningham, Christopher Villiers, Valentine Pelka, Colin McCormack, Ralph Ineson, John Gielgud, Stuart Bunce, Jane Robbins, Jean Marie Coffey, Paul Kynman, Tom Lucy, Richard Claxton","The timeless tale of King Arthur and the legend of Camelot are retold in this passionate period drama. Arthur is reluctant to hand the crown to Lancelot, and Guinevere is torn between her loyalty to her husband and her growing love for his rival. But Lancelot must balance his loyalty to the throne with the rewards of true love.",319,15.178338,134.0,1995-07-07
628,The Edge,"Action, Adventure, Drama","English, Français, Pусский","Alec Baldwin, Anthony Hopkins, Elle Macpherson, Harold Perrineau, L.Q. Jones, Kathleen Wilhoite, David Lindstedt, Mark Kiely, Eli Gabay, Larry Musser","The plane carrying wealthy Charles Morse crashes down in the Alaskan wilderness. Together with the two other passengers, photographer Robert and assistant Stephen, Charles devises a plan to help them reach civilization. However, his biggest obstacle might not be the elements, or even the Kodiak bear stalking them -- it could be Robert, whom Charles suspects is having an affair with his wife and would not mind seeing him dead.",359,15.174973,117.0,1997-09-06
629,Barfly,"Comedy, Drama, Romance",English,"Mickey Rourke, Faye Dunaway, Alice Krige, Jack Nance, J.C. Quinn, Frank Stallone, Pruitt Taylor Vince, Sandy Martin, Roberta Bassin, Gloria LeRoy, Joe Unger, Ronald G. Joseph","Downtrodden writer Henry and distressed goddess Wanda aren't exactly husband and wife: they're wedded to their bar stools. But they like each other's company- and Barfly captures their giddy, gin-soaked attempts to make a go of life on the skids.",80,15.170192,100.0,1987-09-02
630,Going in Style,"Crime, Comedy, Drama",English,"Morgan Freeman, Michael Caine, Alan Arkin, Joey King, Matt Dillon, Ann-Margret, Maria Dizzia, Christopher Lloyd, Siobhan Fallon, John Ortiz, Peter Serafinowicz, Kenan Thompson, Josh Pais, Richie Moriarty, Jorge Chapa, Anthony Chisholm, Jeremy Bobb, Seth Barrish, Ashley Aufderheide, Gillian Glasco, Jeremy Shinder, Nick Cordero, Barbara Ann Davison, Jojo Gonzalez, Precious Sipin, Meredith Antoian, Annabelle Chow, Nancy Sun, Jessica Perez, Marlon Perrier, Kenneth Maharaj, Lulu Picart, Tony Arrigo, Kieran Clark, Lolita Foster, Frank Anello, Nick Austin, Marshall Axt, Aaron Ayhan, Matt Ballard, Tommy Bayiokos, James Brickhouse, José Báez, Chris Carfizzi, Katlyn Carlson, Nancy Castro, Marc Chouen, Richard R. Corapi, Frisco Cosme, Gina Diaz, Bella DiDomenico, Joe Remy Dolinsky, Ratnesh Dubey, Laren England, Neil Fleischer, A.J. Franklin, Olli Haaskivi, Peter Munson Hogan, David E. Jenkins Jr., Jeanmarie Lally, Lyssa Mandel, Dillon Mathews, Doris McCarthy, Longmore Mikhala, Robert Myers, Leslie C. Nemet, Melanie Nicholls-King, Thelma O'Leary, Katrina E. Perkins, Jen Ponton, Tod Rainey, Michelle Santiago, Denise Scilabra, Eddie Sellner, Nancy Ellen Shore, Guy Sparks, Mark St. Cyr, Janet Stanwood, Arthur Swain, Linden Tailor, Paul Thornton, Aly Tricarico, Richard Zavaglia, Lisa Zebrowski, James Zeiss","Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money.",543,15.157255,96.0,2017-04-06
631,The Princess Bride,"Adventure, Family, Fantasy, Comedy, Romance",English,"Cary Elwes, Robin Wright, Mandy Patinkin, André the Giant, Chris Sarandon, Christopher Guest, Wallace Shawn, Peter Falk, Billy Crystal, Fred Savage, Carol Kane, Mel Smith, Peter Cook, Willoughby Gray, Anne Dyson, Margery Mason, Malcolm Storry, Betsy Brantley, Paul Badger, Errol Bennett, Willy DeVille, Mickey Feat, Guy Fletcher, Mark Knopfler, Jamie Lane, Sallie McLaughlin, Derek Pykett","In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.",1518,15.15267,98.0,1987-09-18
